# 087bb88aa1dda9cdfed7d1558d5a4c2ab8056c1288aab0fb24fe21f4f82d4670#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6832,"mnu":0.06,"ns":0.9742,"ombh2":0.022506,"omch2":0.11755,"omnuh2":0.000644883920894239,"sigma_8":0.8117},"data_sha256":"468d0f6b5dc2a91da3fafb72822b8bedb754c8f822c6c072aae47f7c1a343623","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.4"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
8.578339962766051707e-04 1.546403683667947553e+04
8.653512194715016169e-04 1.558939114676117060e+04
8.729343163025643417e-04 1.571567507321723679e+04
8.805838640223016172e-04 1.584289374259135911e+04
8.883004449417011752e-04 1.597105228149523646e+04
8.960846464745573798e-04 1.610015579059830634e+04
9.039370611821892542e-04 1.623020934663662592e+04
9.118582868185468688e-04 1.636121802399411354e+04
9.198489263757148732e-04 1.649318689495629587e+04
9.279095881298131702e-04 1.662612102918693199e+04
9.360408856873036251e-04 1.676002549984710640e+04
9.442434380316982534e-04 1.689490541981621209e+04
9.525178695706785397e-04 1.703076591661794373e+04
9.608648101836283779e-04 1.716761211522433223e+04
9.692848952695813950e-04 1.730544913749393527e+04
9.777787657955915469e-04 1.744428210150238010e+04
9.863470683455241670e-04 1.758411603351027588e+04
9.949904551692782036e-04 1.772495571344491691e+04
1.003709584232434981e-03 1.786680586518096970e+04
1.012505119266347148e-03 1.800967119478107998e+04
1.021377729818664665e-03 1.815355638971798180e+04
1.030328091304300768e-03 1.829846612248962265e+04
1.039356885056849818e-03 1.844440519773243795e+04
1.048464798380449895e-03 1.859137859223861597e+04
1.057652524602105317e-03 1.873939128368304227e+04
1.066920763124464076e-03 1.888844823875501606e+04
1.076270219479059324e-03 1.903855441252433229e+04
1.085701605380015762e-03 1.918971472047488351e+04
1.095215638778229608e-03 1.934193379078806902e+04
1.104813043916020622e-03 1.949521607071841572e+04
1.114494551382264661e-03 1.964956597670125848e+04
